skill_id	skills	type
0	python	programming
1	r	programming
2	sql	programming
3	scala	programming
4	java	programming
5	assembly	programming
6	nosql	programming
7	sas	programming
8	javascript	programming
9	t-sql	programming
10	powershell	programming
11	c++	programming
12	c#	programming
13	apl	programming
14	go	programming
15	mongodb	programming
16	html	programming
17	css	programming
18	bash	programming
19	vb.net	programming
20	vba	programming
21	php	programming
22	c	programming
23	matlab	programming
24	julia	programming
25	mongo	programming
26	shell	programming
27	typescript	programming
28	fortran	programming
29	perl	programming
30	ruby	programming
31	visual basic	programming
32	crystal	programming
33	golang	programming
34	no-sql	programming
35	kotlin	programming
36	groovy	programming
37	rust	programming
38	swift	programming
39	solidity	programming
40	haskell	programming
41	sass	programming
42	clojure	programming
43	erlang	programming
44	dart	programming
45	cobol	programming
46	lisp	programming
47	delphi	programming
48	elixir	programming
49	objective-c	programming
50	pascal	programming
51	lua	programming
52	postgresql	databases
53	dynamodb	databases
54	elasticsearch	databases
55	mongodb	databases
56	redis	databases
57	sql server	databases
58	cassandra	databases
59	mysql	databases
60	db2	databases
61	neo4j	databases
62	couchbase	databases
63	firebase	databases
64	sqlite	databases
65	mariadb	databases
66	firestore	databases
67	couchdb	databases
68	databricks	cloud
69	aws	cloud
70	gcp	cloud
71	azure	cloud
72	openstack	cloud
73	oracle	cloud
74	redshift	cloud
75	snowflake	cloud
76	bigquery	cloud
77	ibm cloud	cloud
78	aurora	cloud
79	vmware	cloud
80	watson	cloud
81	firebase	cloud
82	colocation	cloud
83	digitalocean	cloud
84	heroku	cloud
85	spark	libraries
86	airflow	libraries
87	kafka	libraries
88	keras	libraries
89	pytorch	libraries
90	pandas	libraries
91	numpy	libraries
92	hadoop	libraries
93	scikit-learn	libraries
94	tensorflow	libraries
95	matplotlib	libraries
96	pyspark	libraries
97	graphql	libraries
98	opencv	libraries
99	rshiny	libraries
100	ggplot2	libraries
101	seaborn	libraries
102	plotly	libraries
103	jupyter	libraries
104	spring	libraries
105	theano	libraries
106	react	libraries
107	mxnet	libraries
108	gdpr	libraries
109	nltk	libraries
110	tidyverse	libraries
111	electron	libraries
112	cordova	libraries
113	dplyr	libraries
114	selenium	libraries
115	xamarin	libraries
116	hugging face	libraries
117	flutter	libraries
118	mlr	libraries
119	qt	libraries
120	chainer	libraries
121	express	webframeworks
122	vue.js	webframeworks
123	flask	webframeworks
124	django	webframeworks
125	jquery	webframeworks
126	node.js	webframeworks
127	react.js	webframeworks
128	phoenix	webframeworks
129	angular	webframeworks
130	node	webframeworks
131	ruby	webframeworks
132	ruby on rails	webframeworks
133	drupal	webframeworks
134	asp.net	webframeworks
135	fastapi	webframeworks
136	vue	webframeworks
137	blazor	webframeworks
138	next.js	webframeworks
139	gatsby	webframeworks
140	laravel	webframeworks
141	angular.js	webframeworks
142	svelte	webframeworks
143	asp.net core	webframeworks
144	fastify	webframeworks
145	linux	os
146	windows	os
147	unix	os
148	arch	os
149	macos	os
150	redhat	os
151	centos	os
152	suse	os
153	ubuntu	os
154	kali	os
155	debian	os
156	power bi	analyst_tools
157	excel	analyst_tools
158	sheets	analyst_tools
159	sap	analyst_tools
160	tableau	analyst_tools
161	spss	analyst_tools
162	sas	analyst_tools
163	qlik	analyst_tools
164	powerpoint	analyst_tools
165	spreadsheet	analyst_tools
166	ssrs	analyst_tools
167	looker	analyst_tools
168	ssis	analyst_tools
169	microstrategy	analyst_tools
170	cognos	analyst_tools
171	datarobot	analyst_tools
172	word	analyst_tools
173	outlook	analyst_tools
174	sharepoint	analyst_tools
175	alteryx	analyst_tools
176	dax	analyst_tools
177	visio	analyst_tools
178	splunk	analyst_tools
179	ms access	analyst_tools
180	nuix	analyst_tools
181	kubernetes	other
182	docker	other
183	ansible	other
184	terraform	other
185	jenkins	other
186	github	other
187	git	other
188	flow	other
189	terminal	other
190	bitbucket	other
191	atlassian	other
192	gitlab	other
193	chef	other
194	svn	other
195	yarn	other
196	npm	other
197	unity	other
198	puppet	other
199	unreal	other
200	codecommit	other
201	pulumi	other
202	homebrew	other
203	jira	async
204	confluence	async
205	airtable	async
206	workfront	async
207	asana	async
208	smartsheet	async
209	monday.com	async
210	trello	async
211	notion	async
212	clickup	async
213	planner	async
214	wrike	async
215	microsoft lists	async
216	unify	sync
217	slack	sync
218	zoom	sync
219	microsoft teams	sync
220	wire	sync
221	twilio	sync
222	ringcentral	sync
223	symphony	sync
224	webex	sync